案件,縣市,鄉鎮市區,鄉鎮市區,同意票數,不同意票數,有效票數,無效票數,投票數,投票權人數
第14案,屏東縣,屏東縣三地門鄉,三地門鄉,938,"2,463","3,401",230,"3,631","6,373"
第14案,屏東縣,屏東縣霧臺鄉,霧臺鄉,414,"1,291","1,705",111,"1,816","2,950"
第14案,屏東縣,屏東縣瑪家鄉,瑪家鄉,862,"2,507","3,369",199,"3,568","5,663"
第14案,屏東縣,屏東縣泰武鄉,泰武鄉,631,"1,948","2,579",228,"2,807","4,344"
第14案,屏東縣,屏東縣來義鄉,來義鄉,788,"2,692","3,480",254,"3,734","6,257"
第14案,屏東縣,屏東縣春日鄉,春日鄉,432,897,"1,329",52,"1,381","3,923"
第14案,屏東縣,屏東縣獅子鄉,獅子鄉,515,"1,674","2,189",100,"2,289","4,230"
第14案,屏東縣,屏東縣牡丹鄉,牡丹鄉,527,"1,196","1,723",76,"1,799","4,314"
第14案,臺東縣,臺東縣臺東市,臺東市,"12,117","33,290","45,407","2,640","48,047","87,803"
第14案,臺東縣,臺東縣成功鎮,成功鎮,"1,189","4,309","5,498",649,"6,147","12,426"
第14案,臺東縣,臺東縣關山鎮,關山鎮,924,"2,596","3,520",227,"3,747","7,509"
第14案,臺東縣,臺東縣卑南鄉,卑南鄉,"1,956","5,204","7,160",708,"7,868","14,976"
第14案,臺東縣,臺東縣鹿野鄉,鹿野鄉,864,"2,044","2,908",220,"3,128","6,936"
第14案,臺東縣,臺東縣池上鄉,池上鄉,818,"2,187","3,005",301,"3,306","7,162"
第14案,臺東縣,臺東縣東河鄉,東河鄉,788,"2,203","2,991",358,"3,349","7,635"
第14案,臺東縣,臺東縣長濱鄉,長濱鄉,562,"1,793","2,355",363,"2,718","6,484"
第14案,臺東縣,臺東縣太麻里鄉,太麻里鄉,"1,099","3,268","4,367",420,"4,787","9,666"
第14案,臺東縣,臺東縣大武鄉,大武鄉,621,"1,713","2,334",376,"2,710","5,266"
第14案,臺東縣,臺東縣綠島鄉,綠島鄉,481,"1,040","1,521",58,"1,579","3,579"
第14案,臺東縣,臺東縣海端鄉,海端鄉,351,"1,281","1,632",124,"1,756","3,278"
第14案,臺東縣,臺東縣延平鄉,延平鄉,352,"1,135","1,487",117,"1,604","2,930"
第14案,臺東縣,臺東縣金峰鄉,金峰鄉,453,"1,217","1,670",145,"1,815","3,028"
第14案,臺東縣,臺東縣達仁鄉,達仁鄉,373,"1,312","1,685",144,"1,829","3,137"
第14案,臺東縣,臺東縣蘭嶼鄉,蘭嶼鄉,417,"1,093","1,510",90,"1,600","4,181"
第14案,花蓮縣,花蓮縣花蓮市,花蓮市,"12,198","31,255","43,453","2,228","45,681","84,807"
第14案,花蓮縣,花蓮縣鳳林鎮,鳳林鎮,"1,242","3,638","4,880",468,"5,348","9,676"
第14案,花蓮縣,花蓮縣玉里鎮,玉里鎮,"2,279","6,432","8,711","1,083","9,794","20,650"
第14案,花蓮縣,花蓮縣新城鄉,新城鄉,"2,336","6,293","8,629",617,"9,246","17,029"
第14案,花蓮縣,花蓮縣吉安鄉,吉安鄉,"9,393","26,662","36,055","2,081","38,136","72,116"
第14案,花蓮縣,花蓮縣壽豐鄉,壽豐鄉,"2,161","5,885","8,046",758,"8,804","15,847"
第14案,花蓮縣,花蓮縣光復鄉,光復鄉,"1,246","3,966","5,212",669,"5,881","11,417"
第14案,花蓮縣,花蓮縣豐濱鄉,豐濱鄉,485,"1,248","1,733",273,"2,006","4,395"
第14案,花蓮縣,花蓮縣瑞穗鄉,瑞穗鄉,"1,029","3,532","4,561",516,"5,077","10,279"
第14案,花蓮縣,花蓮縣富里鄉,富里鄉,913,"2,810","3,723",434,"4,157","9,065"
第14案,花蓮縣,花蓮縣秀林鄉,秀林鄉,"1,602","4,402","6,004",449,"6,453","12,562"
第14案,花蓮縣,花蓮縣萬榮鄉,萬榮鄉,667,"2,014","2,681",262,"2,943","5,269"
第14案,花蓮縣,花蓮縣卓溪鄉,卓溪鄉,551,"2,007","2,558",291,"2,849","4,947"
第14案,澎湖縣,澎湖縣馬公市,馬公市,"7,199","17,432","24,631","1,522","26,153","53,655"
